ACS,KpR,DpR,ApR,KAST,ADR,HS,FK,FD,W/L
1048,127,87,44,374,712,149,19,14,1
815,87,127,26,295,551,145,14,19,0
980,190,173,75,369,632,134,21,34,1
889,173,190,63,368,581,172,34,21,0
1139,158,111,51,393,734,135,19,19,1
865,111,158,34,300,583,120,19,19,0
750,91,149,27,260,511,140,11,25,0
1121,149,92,54,402,768,116,25,11,1
984,201,211,108,356,642,151,25,34,0
1013,211,201,101,355,668,134,34,25,1
1098,164,131,86,390,720,165,27,16,1
895,131,164,57,342,588,128,16,27,0
998,224,218,119,368,641,102,34,30,1
967,218,224,96,352,631,118,30,34,0
972,253,234,118,355,640,134,34,39,1
919,234,253,99,344,610,153,39,34,0
1050,151,121,56,384,697,126,24,17,1
858,121,151,56,341,560,160,17,24,0
797,90,137,49,320,541,119,13,22,0
1070,137,90,79,425,704,179,22,13,1
898,105,144,51,333,609,131,15,21,0
1083,144,106,60,381,698,110,21,15,1
1011,164,176,72,365,675,136,23,25,0
1034,176,164,74,363,676,129,25,23,1
1003,225,229,110,360,665,160,31,33,1
1029,229,225,112,382,690,135,33,31,0
1073,265,226,114,376,697,124,38,31,1
924,226,266,77,320,652,143,31,38,0
999,236,219,120,384,667,155,30,38,1
938,219,236,121,376,608,118,38,30,0
929,141,165,51,342,624,160,18,25,0
1071,165,141,70,380,703,158,25,18,1
1003,230,215,102,386,659,131,40,26,0
919,214,230,83,351,634,160,26,40,1
866,165,218,69,331,581,98,29,26,0
1069,218,165,71,406,696,138,26,29,1
956,190,182,66,345,647,174,33,23,1
925,182,191,92,348,606,126,23,33,0
1170,139,90,54,416,763,142,12,20,1
842,90,139,40,294,560,141,20,12,0
867,116,160,50,309,584,159,18,23,0
1088,160,116,67,394,713,132,23,18,1
1053,250,233,119,387,692,114,32,36,1
967,233,250,86,356,665,149,36,32,0
1013,163,176,75,386,697,154,20,26,0
1061,176,163,79,403,705,182,26,20,1
849,131,165,50,336,571,158,29,17,0
1026,163,131,73,370,672,122,17,29,1
987,171,181,73,339,661,121,21,30,0
1037,181,171,75,356,678,181,30,21,1
885,138,169,53,319,600,108,25,20,0
1064,169,138,80,367,691,170,20,25,1
982,133,162,77,363,652,135,21,18,0
1188,162,133,80,398,755,116,18,21,1
1065,346,307,162,385,724,144,52,41,1
945,307,346,139,343,626,131,41,52,0
909,340,387,170,347,617,175,52,55,0
1029,387,340,177,372,668,130,55,52,1
974,246,255,110,363,668,149,33,41,1
996,254,246,98,367,655,134,41,33,0
1113,151,126,45,385,737,148,23,15,1
949,126,151,57,339,626,142,15,23,0
1138,154,110,75,394,728,121,24,13,1
882,110,154,51,314,614,151,13,24,0
1067,156,127,79,374,698,146,20,22,1
887,127,156,48,336,602,133,22,20,0
1050,241,198,100,382,722,156,38,26,1
896,198,241,66,323,614,153,26,38,0
936,135,153,75,357,610,126,20,23,0
1008,152,135,68,358,670,124,23,20,1
893,180,212,66,347,613,130,28,31,0
1000,212,180,72,381,675,143,31,28,1
1029,150,121,50,381,706,161,20,20,1
900,121,150,42,337,594,135,20,20,0
1128,148,106,54,401,750,179,21,15,1
862,106,148,47,320,561,129,15,21,0
1083,229,191,91,378,691,139,30,30,1
944,190,229,76,331,638,172,30,30,0
1153,151,94,75,428,734,148,22,14,1
789,94,151,48,267,525,159,14,22,0
1009,234,194,111,405,657,137,38,25,1
931,194,234,81,332,632,121,25,38,0
1072,153,111,51,369,708,168,21,19,1
834,111,153,28,279,554,175,19,21,0
786,86,146,35,256,502,152,10,24,0
1141,145,86,69,416,759,167,24,10,1
1134,139,75,49,442,706,121,24,8,1
717,75,139,31,256,486,137,8,24,0
831,107,165,53,302,571,122,17,22,0
1158,165,107,73,426,759,124,22,17,1
1029,246,255,124,345,666,124,37,33,0
1013,255,246,82,337,670,151,33,37,1
1096,151,106,48,390,714,141,19,19,1
799,106,151,48,290,547,120,19,19,0
909,193,229,54,325,607,145,25,37,0
1029,229,193,91,380,687,157,37,25,1
1013,156,127,63,373,686,130,21,21,1
900,127,156,57,326,589,148,21,21,0
1126,154,121,56,387,771,151,18,20,1
896,121,154,46,346,605,135,20,18,0
836,116,145,42,339,551,105,20,21,0
978,145,116,44,364,633,155,21,20,1
1093,204,185,103,397,737,119,32,20,1
1012,185,204,67,363,657,131,20,32,0
913,234,263,105,334,617,140,32,41,0
1056,263,234,124,361,692,158,41,32,1
1011,229,223,102,361,671,141,35,30,1
988,223,229,77,362,644,140,30,35,0
1022,146,119,62,398,709,126,28,12,1
845,118,146,45,326,571,152,12,28,0
887,121,173,53,329,573,131,18,23,0
1149,173,121,64,415,729,140,23,18,1
965,222,240,76,359,649,148,35,31,0
1041,240,222,87,353,680,156,31,35,1
1133,194,161,68,383,757,145,31,17,1
975,161,194,61,336,649,146,17,31,0
833,114,151,55,327,565,116,15,26,0
1053,151,114,64,390,713,147,26,15,1
885,144,176,50,326,594,142,24,23,0
1078,176,144,81,394,708,121,23,24,1
1106,146,102,49,402,723,137,24,12,1
835,102,146,45,317,537,123,12,24,0
882,118,159,46,307,580,135,16,23,0
1116,159,118,74,393,750,135,23,16,1
953,215,243,107,352,641,139,36,29,0
1058,243,215,81,356,677,140,29,36,1
927,199,231,102,326,616,122,28,35,0
1039,231,199,120,380,672,116,35,28,1
1003,222,232,78,356,668,150,33,30,0
1019,232,222,87,356,674,144,30,33,1
1001,420,428,177,358,662,142,61,58,1
1020,428,420,154,359,686,157,58,61,0
1065,243,201,82,387,706,157,36,27,1
926,201,243,80,351,625,147,27,36,0
1011,195,180,90,-1,-1,-1,-1,-1,1
967,180,195,58,-1,-1,-1,-1,-1,0
1013,233,238,107,-1,-1,-1,-1,-1,0
1002,238,233,106,-1,-1,-1,-1,-1,1
971,238,245,84,-1,-1,-1,-1,-1,0
1006,245,238,113,-1,-1,-1,-1,-1,1
1021,227,206,104,-1,-1,-1,-1,-1,1
923,206,227,100,-1,-1,-1,-1,-1,0
864,115,159,46,-1,-1,-1,-1,-1,0
1107,159,116,70,-1,-1,-1,-1,-1,1
1078,158,128,69,-1,-1,-1,-1,-1,1
908,128,158,54,-1,-1,-1,-1,-1,0
927,195,208,89,-1,-1,-1,-1,-1,0
994,208,195,79,-1,-1,-1,-1,-1,1
1060,234,207,81,-1,-1,-1,-1,-1,1
949,207,234,75,-1,-1,-1,-1,-1,0
992,166,174,61,-1,-1,-1,-1,-1,0
1029,174,166,57,-1,-1,-1,-1,-1,1
978,217,198,85,-1,-1,-1,-1,-1,1
896,198,217,96,-1,-1,-1,-1,-1,0
1015,198,190,78,-1,-1,-1,-1,-1,1
974,190,198,83,-1,-1,-1,-1,-1,0
946,132,154,62,-1,-1,-1,-1,-1,0
1069,154,132,77,-1,-1,-1,-1,-1,1
916,141,167,48,-1,-1,-1,-1,-1,0
1079,167,141,75,-1,-1,-1,-1,-1,1
853,102,155,45,-1,-1,-1,-1,-1,0
1157,155,102,72,-1,-1,-1,-1,-1,1
979,147,154,57,-1,-1,-1,-1,-1,0
965,154,147,62,-1,-1,-1,-1,-1,1
994,222,225,101,-1,-1,-1,-1,-1,1
1003,225,222,83,-1,-1,-1,-1,-1,0
1027,251,243,106,-1,-1,-1,-1,-1,1
996,243,251,103,-1,-1,-1,-1,-1,0
1155,155,107,51,-1,-1,-1,-1,-1,1
897,107,155,33,-1,-1,-1,-1,-1,0
970,221,221,87,-1,-1,-1,-1,-1,1
1005,221,221,97,-1,-1,-1,-1,-1,0
976,144,170,55,-1,-1,-1,-1,-1,0
1083,170,144,76,-1,-1,-1,-1,-1,1
1017,236,230,107,-1,-1,-1,-1,-1,0
985,230,236,111,-1,-1,-1,-1,-1,1
1002,208,190,75,-1,-1,-1,-1,-1,1
914,190,208,61,-1,-1,-1,-1,-1,0
1058,267,246,120,-1,-1,-1,-1,-1,1
973,245,267,86,-1,-1,-1,-1,-1,0
1044,163,148,60,-1,-1,-1,-1,-1,1
961,146,163,55,-1,-1,-1,-1,-1,0
1053,147,98,45,-1,-1,-1,-1,-1,1
809,98,147,36,-1,-1,-1,-1,-1,0
875,104,149,39,-1,-1,-1,-1,-1,0
1190,149,104,66,-1,-1,-1,-1,-1,1
891,134,172,62,-1,-1,-1,-1,-1,0
1086,172,134,69,-1,-1,-1,-1,-1,1
891,104,135,35,-1,-1,-1,-1,-1,0
1085,135,104,47,-1,-1,-1,-1,-1,1
1096,152,108,69,-1,-1,-1,-1,-1,1
848,108,152,25,-1,-1,-1,-1,-1,0
990,186,207,69,-1,-1,-1,-1,-1,0
1082,207,186,82,-1,-1,-1,-1,-1,1
1082,165,139,66,-1,-1,-1,-1,-1,1
955,139,165,55,-1,-1,-1,-1,-1,0
1142,166,133,77,-1,-1,-1,-1,-1,1
952,133,166,64,-1,-1,-1,-1,-1,0
1091,169,144,71,-1,-1,-1,-1,-1,1
941,144,169,48,-1,-1,-1,-1,-1,0
1172,162,118,71,-1,-1,-1,-1,-1,1
908,118,162,46,-1,-1,-1,-1,-1,0
1056,182,172,70,-1,-1,-1,-1,-1,1
995,172,182,68,-1,-1,-1,-1,-1,0
999,205,227,104,-1,-1,-1,-1,-1,0
1059,227,205,101,-1,-1,-1,-1,-1,1
1013,264,243,111,-1,-1,-1,-1,-1,1
965,243,265,86,-1,-1,-1,-1,-1,0
1011,308,332,127,-1,-1,-1,-1,-1,0
1032,331,309,120,-1,-1,-1,-1,-1,1
955,211,227,79,-1,628,138,35,26,1
1049,227,211,79,-1,678,168,26,35,0
1023,249,232,78,-1,675,182,39,30,1
948,231,249,112,-1,613,123,30,39,0
984,202,195,57,-1,659,140,25,33,1
940,195,202,73,-1,610,137,33,25,0
1108,149,99,67,-1,731,136,28,8,1
844,99,149,42,-1,585,145,8,28,0
941,242,276,98,-1,638,178,33,41,0
1048,275,243,108,-1,671,142,41,33,1
967,208,222,101,-1,638,115,32,30,1
1009,222,208,86,-1,652,166,30,32,0
1140,171,130,68,-1,749,145,20,22,1
874,130,171,44,-1,568,149,22,20,0
1039,172,180,62,-1,727,134,26,23,0
1035,180,172,91,-1,674,129,23,26,1
990,241,245,98,-1,672,167,33,35,0
1015,244,241,103,-1,682,176,35,33,1
1087,237,218,85,-1,702,145,30,33,1
1002,217,237,77,-1,688,142,32,29,0
